year,stage,group,home_team,away_team,home_score,away_score,score_info
2022,Group Stage,Group A,Netherlands,Qatar,2.0,0.0,
2022,Group Stage,Group B,England,Iran,6.0,2.0,
2022,Group Stage,Group B,United States,Wales,1.0,1.0,
2022,Group Stage,Group B,Wales,Iran,0.0,2.0,
2022,Group Stage,Group B,England,United States,0.0,0.0,
2022,Group Stage,Group B,Wales,England,0.0,3.0,
2022,Group Stage,Group B,Iran,United States,0.0,1.0,
2022,Group Stage,Group C,Argentina,Saudi Arabia,1.0,2.0,
2022,Group Stage,Group C,Mexico,Poland,0.0,0.0,
2022,Group Stage,Group C,Poland,Saudi Arabia,2.0,0.0,
2022,Group Stage,Group C,Argentina,Mexico,2.0,0.0,
2022,Group Stage,Group C,Poland,Argentina,0.0,2.0,
2022,Group Stage,Group C,Saudi Arabia,Mexico,1.0,2.0,
2022,Group Stage,Group D,Denmark,Tunisia,0.0,0.0,
2022,Group Stage,Group D,France,Australia,4.0,1.0,
2022,Group Stage,Group D,Tunisia,Australia,0.0,1.0,
2022,Group Stage,Group D,France,Denmark,2.0,1.0,
2022,Group Stage,Group D,Australia,Denmark,1.0,0.0,
2022,Group Stage,Group D,Tunisia,France,1.0,0.0,
2022,Group Stage,Group E,Germany,Japan,1.0,2.0,
2022,Group Stage,Group E,Spain,Costa Rica,7.0,0.0,
2022,Group Stage,Group E,Japan,Costa Rica,0.0,1.0,
2022,Group Stage,Group E,Spain,Germany,1.0,1.0,
2022,Group Stage,Group E,Japan,Spain,2.0,1.0,
2022,Group Stage,Group E,Costa Rica,Germany,2.0,4.0,
2022,Group Stage,Group F,Morocco,Croatia,0.0,0.0,
2022,Group Stage,Group F,Belgium,Canada,1.0,0.0,
2022,Group Stage,Group F,Belgium,Morocco,0.0,2.0,
2022,Group Stage,Group F,Croatia,Canada,4.0,1.0,
2022,Group Stage,Group F,Croatia,Belgium,0.0,0.0,
2022,Group Stage,Group F,Canada,Morocco,1.0,2.0,
2022,Group Stage,Group G,Switzerland,Cameroon,1.0,0.0,
2022,Group Stage,Group G,Brazil,Serbia,2.0,0.0,
2022,Group Stage,Group G,Cameroon,Serbia,3.0,3.0,
2022,Group Stage,Group G,Brazil,Switzerland,1.0,0.0,
2022,Group Stage,Group G,Serbia,Switzerland,2.0,3.0,
2022,Group Stage,Group G,Cameroon,Brazil,1.0,0.0,
2022,Group Stage,Group H,Uruguay,South Korea,0.0,0.0,
2022,Group Stage,Group H,Portugal,Ghana,3.0,2.0,
2022,Group Stage,Group H,South Korea,Ghana,2.0,3.0,
2022,Group Stage,Group H,Portugal,Uruguay,2.0,0.0,
2022,Group Stage,Group H,Ghana,Uruguay,0.0,2.0,
2022,Group Stage,Group H,South Korea,Portugal,2.0,1.0,
2022,Round of 16,,Netherlands,United States,3.0,1.0,
2022,Round of 16,,Argentina,Australia,2.0,1.0,
2022,Round of 16,,France,Poland,3.0,1.0,
2022,Round of 16,,England,Senegal,3.0,0.0,
2022,Round of 16,,Japan,Croatia,1.0,1.0, a.e.t. 
2022,Round of 16,,Brazil,South Korea,4.0,1.0,
2022,Round of 16,,Morocco,Spain,0.0,0.0, a.e.t. 
2022,Round of 16,,Portugal,Switzerland,6.0,1.0,
2022,Quarterfinals,,Croatia,Brazil,1.0,1.0, a.e.t. 
2022,Quarterfinals,,Netherlands,Argentina,2.0,2.0, a.e.t. 
2022,Quarterfinals,,Morocco,Portugal,1.0,0.0,
2022,Quarterfinals,,England,France,1.0,2.0,
2022,Semifinals,,Argentina,Croatia,3.0,0.0,
2022,Semifinals,,France,Morocco,2.0,0.0,
2022,Third Place Match,,Croatia,Morocco,2.0,1.0,
2022,Final,,Argentina,France,3.0,3.0, a.e.t. 
